DAY,SNOW DAY
"Jan 28, 2015",1
"Jan 3, 2014",1
"Jan 1, 2014",0
"Jan 20, 2015",0
"Jan 16, 2016",0
"Jan 28, 2017",0
"Feb 8th, 2017", 1
"Feb 12th, 2017", 1
"Feb 6, 2016",0
"Feb 20, 2016",0
"Feb 9th, 2015", 1
"Feb 1, 2015",1
"Feb 5, 2014",1
"Feb 13, 2014",1
"Feb 14th, 2014",1
"Feb 6, 2016",1
"Feb 20, 2015",0
"Mar 14, 2017",1
"Mar 15, 2017",0
"Mar 16, 2017",0
"Mar 17, 2017",0
"Mar 20, 2017",0
"Mar 21, 2017",0
"Mar 22, 2017",0
"Mar 23, 2017",0
"Mar 24, 2017",0
"Mar 27, 2017",0
"Mar 28, 2017",0
"Mar 29, 2017",0
"Mar 30, 2017",0
"Mar 31, 2017",0
"Apr 3, 2017",0
"Apr 4, 2017",0
"Apr 5, 2017",0
"Apr 6, 2017",0
"Apr 7, 2017",0
"Apr 10, 2017",0
"Apr 11, 2017",0
"Apr 12, 2017",0
"Apr 13, 2017",0
"Apr 14, 2017",0
